imgname,label
0.jpg,29
1.jpg,36
10.jpg,78
100.jpg,41
1000.jpg,47
10000.jpg,68
10001.jpg,1
10002.jpg,75
10003.jpg,16
10004.jpg,1
10005.jpg,1
10006.jpg,61
10007.jpg,36
10008.jpg,73
10009.jpg,16
1001.jpg,58
10010.jpg,73
10011.jpg,15
10012.jpg,29
10013.jpg,58
10014.jpg,1
10015.jpg,63
10016.jpg,78
10017.jpg,1
10018.jpg,64
10019.jpg,75
1002.jpg,64
10020.jpg,40
10021.jpg,43
10022.jpg,9
10023.jpg,63
10024.jpg,75
10025.jpg,75
10026.jpg,3
10027.jpg,57
10028.jpg,7
10029.jpg,1
1003.jpg,75
10030.jpg,83
10031.jpg,74
10032.jpg,61
10033.jpg,16
10034.jpg,17
10035.jpg,27
10036.jpg,43
10037.jpg,75
10038.jpg,73
10039.jpg,8
1004.jpg,50
10040.jpg,81
10041.jpg,60
10042.jpg,62
10043.jpg,58
10044.jpg,75
10045.jpg,74
10046.jpg,69
10047.jpg,65
10048.jpg,81
10049.jpg,27
1005.jpg,62
10050.jpg,73
10051.jpg,73
10052.jpg,45
10053.jpg,25
10054.jpg,58
10055.jpg,49
10056.jpg,46
10057.jpg,46
10058.jpg,16
10059.jpg,75
1006.jpg,36
10060.jpg,20
10061.jpg,69
10062.jpg,5
10063.jpg,46
10064.jpg,58
10065.jpg,75
10066.jpg,56
10067.jpg,70
10068.jpg,36
10069.jpg,49
1007.jpg,3
10070.jpg,20
10071.jpg,46
10072.jpg,37
10073.jpg,77
10074.jpg,55
10075.jpg,1
10076.jpg,16
10077.jpg,42
10078.jpg,60
10079.jpg,4
1008.jpg,1
10080.jpg,36
10081.jpg,31
10082.jpg,67
10083.jpg,41
10084.jpg,70
10085.jpg,53
10086.jpg,35
10087.jpg,1
10088.jpg,58
10089.jpg,22
1009.jpg,4
10090.jpg,16
10091.jpg,55
10092.jpg,36
10093.jpg,54
10094.jpg,63
10095.jpg,20
10096.jpg,1
10097.jpg,75
10098.jpg,40
10099.jpg,12
101.jpg,2
1010.jpg,1
10100.jpg,75
10101.jpg,9
10102.jpg,36
10103.jpg,2
10104.jpg,64
10105.jpg,58
10106.jpg,46
10107.jpg,27
10108.jpg,74
10109.jpg,36
1011.jpg,73
10110.jpg,57
10111.jpg,64
10112.jpg,75
10113.jpg,58
10114.jpg,15
10115.jpg,59
10116.jpg,75
10117.jpg,21
10118.jpg,9
10119.jpg,63
1012.jpg,60
10120.jpg,58
10121.jpg,3
10122.jpg,1
10123.jpg,1
10124.jpg,75
10125.jpg,41
10126.jpg,75
10127.jpg,69
10128.jpg,22
10129.jpg,42
1013.jpg,6
10130.jpg,27
10131.jpg,2
10132.jpg,65
10133.jpg,65
10134.jpg,46
10135.jpg,46
10136.jpg,29
10137.jpg,75
10138.jpg,25
10139.jpg,65
1014.jpg,58
10140.jpg,30
10141.jpg,69
10142.jpg,78
10143.jpg,27
10144.jpg,1
10145.jpg,77
10146.jpg,1
10147.jpg,27
10148.jpg,58
10149.jpg,2
1015.jpg,41
10150.jpg,63
10151.jpg,27
10152.jpg,80
10153.jpg,36
10154.jpg,64
10155.jpg,23
10156.jpg,1
10157.jpg,1
10158.jpg,58
10159.jpg,46
1016.jpg,69
10160.jpg,59
10161.jpg,25
10162.jpg,22
10163.jpg,75
10164.jpg,69
10165.jpg,75
10166.jpg,1
10167.jpg,66
10168.jpg,36
10169.jpg,27
1017.jpg,1
10170.jpg,53
10171.jpg,58
10172.jpg,55
10173.jpg,63
10174.jpg,75
10175.jpg,1
10176.jpg,29
10177.jpg,58
10178.jpg,28
10179.jpg,73
1018.jpg,0
10180.jpg,45
10181.jpg,56
10182.jpg,1
10183.jpg,27
10184.jpg,46
10185.jpg,36
10186.jpg,63
10187.jpg,59
10188.jpg,70
10189.jpg,10
1019.jpg,40
10190.jpg,53
10191.jpg,5
10192.jpg,58
10193.jpg,57
10194.jpg,45
10195.jpg,54
10196.jpg,4
10197.jpg,55
10198.jpg,73
10199.jpg,75
102.jpg,22
1020.jpg,55
10200.jpg,46
10201.jpg,65
10202.jpg,0
10203.jpg,1
10204.jpg,4
10205.jpg,1
10206.jpg,41
10207.jpg,46
10208.jpg,1
10209.jpg,1
1021.jpg,9
10210.jpg,6
10211.jpg,78
10212.jpg,58
10213.jpg,73
10214.jpg,22
10215.jpg,1
10216.jpg,1
10217.jpg,42
10218.jpg,75
10219.jpg,59
1022.jpg,21
10220.jpg,75
10221.jpg,83
10222.jpg,57
10223.jpg,69
10224.jpg,68
10225.jpg,60
10226.jpg,47
10227.jpg,28
10228.jpg,27
10229.jpg,39
1023.jpg,54
10230.jpg,57
10231.jpg,1
10232.jpg,69
10233.jpg,75
10234.jpg,47
10235.jpg,58
10236.jpg,55
10237.jpg,75
10238.jpg,78
10239.jpg,54
1024.jpg,1
10240.jpg,78
10241.jpg,1
10242.jpg,13
10243.jpg,58
10244.jpg,1
10245.jpg,58
10246.jpg,57
10247.jpg,25
10248.jpg,64
10249.jpg,75
1025.jpg,62
10250.jpg,29
10251.jpg,75
10252.jpg,75
10253.jpg,70
10254.jpg,36
10255.jpg,81
10256.jpg,58
10257.jpg,40
10258.jpg,53
10259.jpg,36
1026.jpg,28
10260.jpg,27
10261.jpg,36
10262.jpg,36
10263.jpg,42
10264.jpg,57
10265.jpg,59
10266.jpg,36
10267.jpg,1
10268.jpg,1
10269.jpg,36
1027.jpg,75
10270.jpg,16
10271.jpg,1
10272.jpg,53
10273.jpg,58
10274.jpg,6
10275.jpg,2
10276.jpg,58
10277.jpg,6
10278.jpg,59
10279.jpg,81
1028.jpg,63
10280.jpg,74
10281.jpg,54
10282.jpg,27
10283.jpg,46
10284.jpg,2
10285.jpg,15
10286.jpg,51
10287.jpg,58
10288.jpg,65
10289.jpg,42
1029.jpg,34
10290.jpg,1
10291.jpg,65
10292.jpg,1
10293.jpg,70
10294.jpg,65
10295.jpg,73
10296.jpg,58
10297.jpg,58
10298.jpg,55
10299.jpg,22
103.jpg,36
1030.jpg,58
10300.jpg,73
10301.jpg,83
10302.jpg,63
10303.jpg,27
10304.jpg,69
10305.jpg,27
10306.jpg,14
10307.jpg,75
10308.jpg,75
10309.jpg,58
1031.jpg,1
10310.jpg,49
10311.jpg,36
10312.jpg,55
10313.jpg,75
10314.jpg,1
10315.jpg,37
10316.jpg,1
10317.jpg,46
10318.jpg,58
10319.jpg,55
1032.jpg,3
10320.jpg,58
10321.jpg,57
10322.jpg,57
10323.jpg,70
10324.jpg,17
10325.jpg,59
10326.jpg,58
10327.jpg,53
10328.jpg,28
10329.jpg,46
1033.jpg,2
10330.jpg,71
10331.jpg,36
10332.jpg,58
10333.jpg,69
10334.jpg,36
10335.jpg,46
10336.jpg,12
10337.jpg,63
10338.jpg,75
10339.jpg,58
1034.jpg,71
10340.jpg,69
10341.jpg,54
10342.jpg,29
10343.jpg,35
10344.jpg,15
10345.jpg,58
10346.jpg,2
10347.jpg,75
10348.jpg,74
10349.jpg,69
1035.jpg,73
10350.jpg,28
10351.jpg,36
10352.jpg,75
10353.jpg,75
10354.jpg,68
10355.jpg,16
10356.jpg,1
10357.jpg,6
10358.jpg,58
10359.jpg,39
1036.jpg,53
10360.jpg,69
10361.jpg,75
10362.jpg,1
10363.jpg,58
10364.jpg,63
10365.jpg,1
10366.jpg,16
10367.jpg,14
10368.jpg,2
10369.jpg,29
1037.jpg,46
10370.jpg,46
10371.jpg,36
10372.jpg,60
10373.jpg,49
10374.jpg,1
10375.jpg,35
10376.jpg,3
10377.jpg,64
10378.jpg,60
10379.jpg,58
1038.jpg,60
10380.jpg,58
10381.jpg,41
10382.jpg,74
10383.jpg,55
10384.jpg,1
10385.jpg,36
10386.jpg,46
10387.jpg,63
10388.jpg,65
10389.jpg,31
1039.jpg,27
10390.jpg,69
10391.jpg,1
10392.jpg,41
10393.jpg,17
10394.jpg,75
10395.jpg,1
10396.jpg,6
10397.jpg,17
10398.jpg,2
10399.jpg,75
104.jpg,57
1040.jpg,1
10400.jpg,1
10401.jpg,1
10402.jpg,58
10403.jpg,59
10404.jpg,16
10405.jpg,1
10406.jpg,65
10407.jpg,45
10408.jpg,29
10409.jpg,21
1041.jpg,41
10410.jpg,17
10411.jpg,9
10412.jpg,59
10413.jpg,58
10414.jpg,63
10415.jpg,45
10416.jpg,46
10417.jpg,47
10418.jpg,27
10419.jpg,58
1042.jpg,46
10420.jpg,65
10421.jpg,1
10422.jpg,28
10423.jpg,7
10424.jpg,1
10425.jpg,28
10426.jpg,69
10427.jpg,73
10428.jpg,58
10429.jpg,63
1043.jpg,51
10430.jpg,39
10431.jpg,27
10432.jpg,54
10433.jpg,1
10434.jpg,64
10435.jpg,60
10436.jpg,39
10437.jpg,30
10438.jpg,7
10439.jpg,63
1044.jpg,76
10440.jpg,65
10441.jpg,1
10442.jpg,46
10443.jpg,70
10444.jpg,12
10445.jpg,29
10446.jpg,64
10447.jpg,63
10448.jpg,80
10449.jpg,58
1045.jpg,68
10450.jpg,36
10451.jpg,51
10452.jpg,34
10453.jpg,43
10454.jpg,58
10455.jpg,46
10456.jpg,36
10457.jpg,36
10458.jpg,1
10459.jpg,43
1046.jpg,47
10460.jpg,36
10461.jpg,45
10462.jpg,31
10463.jpg,65
10464.jpg,46
10465.jpg,22
10466.jpg,57
10467.jpg,9
10468.jpg,36
10469.jpg,55
1047.jpg,36
10470.jpg,16
10471.jpg,72
10472.jpg,69
10473.jpg,9
10474.jpg,16
10475.jpg,75
10476.jpg,29
10477.jpg,34
10478.jpg,46
10479.jpg,66
1048.jpg,46
10480.jpg,27
10481.jpg,46
10482.jpg,29
10483.jpg,69
10484.jpg,64
10485.jpg,29
10486.jpg,46
10487.jpg,17
10488.jpg,58
10489.jpg,58
1049.jpg,5
10490.jpg,34
10491.jpg,27
10492.jpg,1
10493.jpg,58
10494.jpg,57
10495.jpg,52
10496.jpg,1
10497.jpg,46
10498.jpg,22
10499.jpg,58
105.jpg,30
1050.jpg,50
10500.jpg,15
10501.jpg,22
10502.jpg,53
10503.jpg,54
10504.jpg,16
10505.jpg,1
10506.jpg,58
10507.jpg,22
10508.jpg,83
10509.jpg,73
1051.jpg,75
10510.jpg,58
10511.jpg,73
10512.jpg,1
10513.jpg,29
10514.jpg,51
10515.jpg,36
10516.jpg,46
10517.jpg,55
10518.jpg,65
10519.jpg,46
1052.jpg,55
10520.jpg,58
10521.jpg,1
10522.jpg,57
10523.jpg,66
10524.jpg,50
10525.jpg,42
10526.jpg,22
10527.jpg,14
10528.jpg,72
10529.jpg,75
1053.jpg,74
10530.jpg,63
10531.jpg,58
10532.jpg,59
10533.jpg,58
10534.jpg,75
10535.jpg,46
10536.jpg,1
10537.jpg,75
10538.jpg,71
10539.jpg,1
1054.jpg,54
10540.jpg,36
10541.jpg,53
10542.jpg,1
10543.jpg,55
10544.jpg,36
10545.jpg,55
10546.jpg,46
10547.jpg,73
10548.jpg,47
10549.jpg,81
1055.jpg,2
10550.jpg,17
10551.jpg,37
10552.jpg,75
10553.jpg,1
10554.jpg,54
10555.jpg,27
10556.jpg,20
10557.jpg,17
10558.jpg,75
10559.jpg,72
1056.jpg,63
10560.jpg,50
10561.jpg,16
10562.jpg,47
10563.jpg,46
10564.jpg,20
10565.jpg,69
10566.jpg,69
10567.jpg,83
10568.jpg,43
10569.jpg,46
1057.jpg,60
10570.jpg,60
10571.jpg,1
10572.jpg,54
10573.jpg,58
10574.jpg,78
10575.jpg,39
10576.jpg,58
10577.jpg,51
10578.jpg,36
10579.jpg,12
1058.jpg,27
