imgname,label
0.jpg,29
1.jpg,75
10.jpg,80
100.jpg,41
1000.jpg,47
10000.jpg,68
10001.jpg,1
10002.jpg,75
10003.jpg,55
10004.jpg,68
10005.jpg,14
10006.jpg,1
10007.jpg,2
10008.jpg,29
10009.jpg,15
1001.jpg,75
10010.jpg,72
10011.jpg,15
10012.jpg,29
10013.jpg,58
10014.jpg,49
10015.jpg,15
10016.jpg,59
10017.jpg,1
10018.jpg,29
10019.jpg,75
1002.jpg,25
10020.jpg,63
10021.jpg,46
10022.jpg,55
10023.jpg,40
10024.jpg,75
10025.jpg,75
10026.jpg,3
10027.jpg,57
10028.jpg,7
10029.jpg,42
1003.jpg,75
10030.jpg,2
10031.jpg,74
10032.jpg,28
10033.jpg,16
10034.jpg,17
10035.jpg,58
10036.jpg,27
10037.jpg,75
10038.jpg,1
10039.jpg,6
1004.jpg,48
10040.jpg,35
10041.jpg,28
10042.jpg,65
10043.jpg,0
10044.jpg,75
10045.jpg,49
10046.jpg,69
10047.jpg,65
10048.jpg,1
10049.jpg,42
1005.jpg,49
10050.jpg,29
10051.jpg,53
10052.jpg,57
10053.jpg,25
10054.jpg,75
10055.jpg,49
10056.jpg,1
10057.jpg,46
10058.jpg,16
10059.jpg,75
1006.jpg,36
10060.jpg,20
10061.jpg,74
10062.jpg,5
10063.jpg,46
10064.jpg,35
10065.jpg,1
10066.jpg,6
10067.jpg,70
10068.jpg,75
10069.jpg,49
1007.jpg,75
10070.jpg,20
10071.jpg,41
10072.jpg,27
10073.jpg,42
10074.jpg,1
10075.jpg,9
10076.jpg,40
10077.jpg,42
10078.jpg,9
10079.jpg,4
1008.jpg,46
10080.jpg,16
10081.jpg,31
10082.jpg,72
10083.jpg,41
10084.jpg,70
10085.jpg,35
10086.jpg,35
10087.jpg,55
10088.jpg,75
10089.jpg,22
1009.jpg,9
10090.jpg,70
10091.jpg,1
10092.jpg,2
10093.jpg,66
10094.jpg,51
10095.jpg,75
10096.jpg,60
10097.jpg,75
10098.jpg,25
10099.jpg,82
101.jpg,58
1010.jpg,75
10100.jpg,75
10101.jpg,48
10102.jpg,75
10103.jpg,75
10104.jpg,63
10105.jpg,58
10106.jpg,9
10107.jpg,2
10108.jpg,74
10109.jpg,36
1011.jpg,73
10110.jpg,45
10111.jpg,64
10112.jpg,75
10113.jpg,58
10114.jpg,15
10115.jpg,59
10116.jpg,75
10117.jpg,57
10118.jpg,9
10119.jpg,25
1012.jpg,60
10120.jpg,58
10121.jpg,34
10122.jpg,1
10123.jpg,68
10124.jpg,75
10125.jpg,41
10126.jpg,75
10127.jpg,69
10128.jpg,1
10129.jpg,28
1013.jpg,6
10130.jpg,27
10131.jpg,43
10132.jpg,65
10133.jpg,6
10134.jpg,9
10135.jpg,9
10136.jpg,73
10137.jpg,75
10138.jpg,25
10139.jpg,27
1014.jpg,58
10140.jpg,69
10141.jpg,69
10142.jpg,77
10143.jpg,71
10144.jpg,72
10145.jpg,77
10146.jpg,1
10147.jpg,2
10148.jpg,2
10149.jpg,2
1015.jpg,3
10150.jpg,63
10151.jpg,48
10152.jpg,80
10153.jpg,75
10154.jpg,77
10155.jpg,5
10156.jpg,75
10157.jpg,66
10158.jpg,58
10159.jpg,41
1016.jpg,69
10160.jpg,80
10161.jpg,70
10162.jpg,82
10163.jpg,75
10164.jpg,69
10165.jpg,75
10166.jpg,1
10167.jpg,9
10168.jpg,6
10169.jpg,0
1017.jpg,28
10170.jpg,48
10171.jpg,58
10172.jpg,82
10173.jpg,1
10174.jpg,75
10175.jpg,2
10176.jpg,29
10177.jpg,58
10178.jpg,49
10179.jpg,2
1018.jpg,75
10180.jpg,25
10181.jpg,20
10182.jpg,1
10183.jpg,43
10184.jpg,46
10185.jpg,36
10186.jpg,63
10187.jpg,36
10188.jpg,20
10189.jpg,10
1019.jpg,75
10190.jpg,9
10191.jpg,5
10192.jpg,83
10193.jpg,57
10194.jpg,45
10195.jpg,2
10196.jpg,70
10197.jpg,68
10198.jpg,73
10199.jpg,75
102.jpg,74
1020.jpg,16
10200.jpg,9
10201.jpg,65
10202.jpg,0
10203.jpg,28
10204.jpg,7
10205.jpg,72
10206.jpg,41
10207.jpg,46
10208.jpg,1
10209.jpg,46
1021.jpg,9
10210.jpg,6
10211.jpg,80
10212.jpg,48
10213.jpg,73
10214.jpg,30
10215.jpg,9
10216.jpg,80
10217.jpg,80
10218.jpg,9
10219.jpg,70
1022.jpg,41
10220.jpg,75
10221.jpg,2
10222.jpg,57
10223.jpg,69
10224.jpg,14
10225.jpg,60
10226.jpg,70
10227.jpg,66
10228.jpg,27
10229.jpg,39
1023.jpg,54
10230.jpg,57
10231.jpg,41
10232.jpg,69
10233.jpg,35
10234.jpg,6
10235.jpg,80
10236.jpg,35
10237.jpg,75
10238.jpg,27
10239.jpg,54
1024.jpg,1
10240.jpg,34
