imgname,label
0.jpg,29
1.jpg,75
10.jpg,78
100.jpg,41
1000.jpg,47
10000.jpg,1
10001.jpg,1
10002.jpg,75
10003.jpg,16
10004.jpg,1
10005.jpg,27
10006.jpg,1
10007.jpg,58
10008.jpg,29
10009.jpg,1
1001.jpg,75
10010.jpg,39
10011.jpg,15
10012.jpg,29
10013.jpg,58
10014.jpg,1
10015.jpg,15
10016.jpg,59
10017.jpg,1
10018.jpg,1
10019.jpg,75
1002.jpg,25
10020.jpg,63
10021.jpg,9
10022.jpg,9
10023.jpg,1
10024.jpg,75
10025.jpg,75
10026.jpg,48
10027.jpg,45
10028.jpg,7
10029.jpg,20
1003.jpg,36
10030.jpg,36
10031.jpg,74
10032.jpg,1
10033.jpg,16
10034.jpg,17
10035.jpg,58
10036.jpg,36
10037.jpg,75
10038.jpg,1
10039.jpg,75
1004.jpg,36
10040.jpg,81
10041.jpg,60
10042.jpg,62
10043.jpg,71
10044.jpg,75
10045.jpg,1
10046.jpg,69
10047.jpg,1
10048.jpg,36
10049.jpg,78
1005.jpg,1
10050.jpg,29
10051.jpg,36
10052.jpg,45
10053.jpg,45
10054.jpg,58
10055.jpg,49
10056.jpg,1
10057.jpg,46
10058.jpg,1
10059.jpg,75
1006.jpg,36
10060.jpg,20
10061.jpg,1
10062.jpg,52
10063.jpg,21
10064.jpg,36
10065.jpg,75
10066.jpg,6
10067.jpg,70
10068.jpg,36
10069.jpg,49
1007.jpg,75
10070.jpg,7
10071.jpg,41
10072.jpg,27
10073.jpg,1
10074.jpg,1
10075.jpg,1
10076.jpg,16
10077.jpg,42
10078.jpg,46
10079.jpg,1
1008.jpg,1
10080.jpg,36
10081.jpg,36
10082.jpg,1
10083.jpg,41
10084.jpg,70
10085.jpg,41
10086.jpg,35
10087.jpg,75
10088.jpg,36
10089.jpg,1
1009.jpg,1
10090.jpg,16
10091.jpg,1
10092.jpg,36
10093.jpg,1
10094.jpg,15
10095.jpg,1
10096.jpg,1
10097.jpg,75
10098.jpg,45
10099.jpg,1
101.jpg,36
1010.jpg,75
10100.jpg,75
10101.jpg,9
10102.jpg,75
10103.jpg,58
10104.jpg,1
10105.jpg,36
10106.jpg,1
10107.jpg,36
10108.jpg,52
10109.jpg,36
1011.jpg,73
10110.jpg,45
10111.jpg,64
10112.jpg,75
10113.jpg,58
10114.jpg,15
10115.jpg,78
10116.jpg,36
10117.jpg,21
10118.jpg,9
10119.jpg,15
1012.jpg,60
10120.jpg,58
10121.jpg,42
10122.jpg,1
10123.jpg,1
10124.jpg,75
10125.jpg,41
10126.jpg,75
10127.jpg,69
10128.jpg,1
10129.jpg,1
1013.jpg,6
10130.jpg,27
10131.jpg,36
10132.jpg,36
10133.jpg,6
10134.jpg,9
10135.jpg,41
10136.jpg,36
10137.jpg,75
10138.jpg,25
10139.jpg,36
1014.jpg,36
10140.jpg,1
10141.jpg,69
10142.jpg,36
10143.jpg,71
10144.jpg,39
10145.jpg,77
10146.jpg,1
10147.jpg,36
10148.jpg,36
10149.jpg,73
1015.jpg,41
10150.jpg,63
10151.jpg,27
10152.jpg,78
10153.jpg,59
10154.jpg,64
10155.jpg,5
10156.jpg,75
10157.jpg,1
10158.jpg,36
10159.jpg,41
1016.jpg,69
10160.jpg,80
10161.jpg,1
10162.jpg,74
10163.jpg,75
10164.jpg,69
10165.jpg,36
10166.jpg,1
10167.jpg,9
10168.jpg,83
10169.jpg,36
1017.jpg,1
10170.jpg,71
10171.jpg,36
10172.jpg,69
10173.jpg,1
10174.jpg,36
10175.jpg,1
10176.jpg,29
10177.jpg,36
10178.jpg,1
10179.jpg,75
1018.jpg,58
10180.jpg,45
10181.jpg,56
10182.jpg,1
10183.jpg,36
10184.jpg,46
10185.jpg,36
10186.jpg,25
10187.jpg,59
10188.jpg,70
10189.jpg,10
1019.jpg,75
10190.jpg,54
10191.jpg,1
10192.jpg,58
10193.jpg,45
10194.jpg,45
10195.jpg,1
10196.jpg,29
10197.jpg,1
10198.jpg,78
10199.jpg,75
102.jpg,74
1020.jpg,58
10200.jpg,1
10201.jpg,71
10202.jpg,0
10203.jpg,1
10204.jpg,4
10205.jpg,1
10206.jpg,41
10207.jpg,52
10208.jpg,1
10209.jpg,9
1021.jpg,9
10210.jpg,6
10211.jpg,78
10212.jpg,58
10213.jpg,29
10214.jpg,1
10215.jpg,52
10216.jpg,1
10217.jpg,80
10218.jpg,1
10219.jpg,59
1022.jpg,41
10220.jpg,75
10221.jpg,83
10222.jpg,57
10223.jpg,69
10224.jpg,1
10225.jpg,60
10226.jpg,6
10227.jpg,1
10228.jpg,36
10229.jpg,39
1023.jpg,54
10230.jpg,57
10231.jpg,41
10232.jpg,69
10233.jpg,75
10234.jpg,6
10235.jpg,81
10236.jpg,75
10237.jpg,75
10238.jpg,36
10239.jpg,54
1024.jpg,74
10240.jpg,37
